,ID,Name,Age,Photo,Nationality,Flag,Potential,Club Logo,Value,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Real Face,Jersey Number,Joined,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,WorkFront,WorkBack
3921,214771,V. Ayala,30,https://cdn.sofifa.org/players/4/19/214771.png,Paraguay,https://cdn.sofifa.org/flags/58.png,72,https://cdn.sofifa.org/teams/2/light/101084.png,2900000.0,2038,Right,1.0,3.0,3.0,No,16.0,"Jul 23, 2018",5.10,70.0,73.0,73.0,73.0,72.0,73.0,73.0,73.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0,72.0,71.0,72.0,72.0,72.0,71.0,71.0,70.0,70.0,70.0,71.0,71.0,65.0,65.0,71.0,58.0,70.0,74.0,75.0,73.0,71.0,71.0,73.0,75.0,73.0,72.0,90.0,77.0,78.0,69.0,83.0,76.0,65.0,68.0,69.0,58.0,66.0,69.0,68.0,63.0,8.0,13.0,9.0,9.0,9.0,Medium, Medium
12911,214740,G. Alucema,25,https://cdn.sofifa.org/players/4/19/214740.png,Chile,https://cdn.sofifa.org/flags/55.png,66,https://cdn.sofifa.org/teams/2/light/112584.png,375000.0,1568,Right,1.0,2.0,2.0,No,6.0,"Jan 1, 2012",5.9,74.09,52.0,52.0,52.0,56.0,54.0,54.0,54.0,56.0,55.0,55.0,55.0,58.0,57.0,57.0,57.0,58.0,64.0,63.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,64.0,50.0,32.0,51.0,65.0,21.0,58.0,23.0,29.0,54.0,61.0,69.0,73.0,67.0,54.0,66.0,36.0,68.0,74.0,71.0,39.0,70.0,63.0,53.0,31.0,39.0,63.0,62.0,65.0,59.0,11.0,11.0,12.0,16.0,15.0,Medium, Medium
9605,225720,G. Bijl,22,https://cdn.sofifa.org/players/4/19/225720.png,Netherlands,https://cdn.sofifa.org/flags/34.png,72,https://cdn.sofifa.org/teams/2/light/100628.png,750000.0,1709,Right,1.0,2.0,3.0,No,23.0,"Jul 1, 2017",5.11,76.36,58.0,58.0,58.0,62.0,61.0,61.0,61.0,62.0,61.0,61.0,61.0,64.0,63.0,63.0,63.0,64.0,67.0,66.0,66.0,66.0,67.0,66.0,64.0,64.0,64.0,66.0,65.0,43.0,43.0,65.0,41.0,65.0,36.0,48.0,62.0,66.0,71.0,68.0,52.0,62.0,63.0,72.0,60.0,79.0,73.0,61.0,68.0,63.0,45.0,54.0,43.0,55.0,60.0,64.0,63.0,11.0,13.0,10.0,9.0,11.0,High, Medium
8651,233957,S. Field,20,https://cdn.sofifa.org/players/4/19/233957.png,England,https://cdn.sofifa.org/flags/14.png,82,https://cdn.sofifa.org/teams/2/light/109.png,1700000.0,1722,Left,1.0,4.0,2.0,Yes,28.0,"Jul 1, 2015",6.1,65.0,61.0,61.0,61.0,62.0,63.0,63.0,63.0,62.0,64.0,64.0,64.0,65.0,67.0,67.0,67.0,65.0,64.0,66.0,66.0,66.0,64.0,63.0,62.0,62.0,62.0,63.0,52.0,52.0,63.0,76.0,47.0,62.0,51.0,47.0,75.0,67.0,65.0,56.0,59.0,62.0,68.0,68.0,58.0,75.0,54.0,44.0,67.0,57.0,55.0,61.0,54.0,71.0,57.0,58.0,61.0,12.0,9.0,7.0,13.0,10.0,Medium, Medium
8211,243586,A. El Kaabi,25,https://cdn.sofifa.org/players/4/19/243586.png,Morocco,https://cdn.sofifa.org/flags/129.png,71,https://cdn.sofifa.org/teams/2/light/112978.png,1000000.0,1501,Left,1.0,2.0,2.0,No,25.0,"Jul 11, 2018",6.0,75.0,67.0,67.0,67.0,63.0,67.0,67.0,67.0,63.0,64.0,64.0,64.0,61.0,56.0,56.0,56.0,61.0,44.0,42.0,42.0,42.0,44.0,42.0,39.0,39.0,39.0,42.0,31.0,68.0,65.0,60.0,44.0,66.0,36.0,33.0,33.0,62.0,63.0,65.0,65.0,66.0,61.0,70.0,65.0,65.0,68.0,53.0,26.0,14.0,73.0,63.0,64.0,55.0,35.0,12.0,17.0,15.0,10.0,13.0,13.0,7.0,High, Medium
13426,182374,Du Zhenyu,35,https://cdn.sofifa.org/players/4/19/182374.png,China PR,https://cdn.sofifa.org/flags/155.png,62,https://cdn.sofifa.org/teams/2/light/111769.png,130000.0,1682,Left,1.0,2.0,3.0,No,8.0,"Jan 5, 2015",5.9,70.0,61.0,61.0,61.0,62.0,63.0,63.0,63.0,62.0,64.0,64.0,64.0,62.0,63.0,63.0,63.0,62.0,55.0,57.0,57.0,57.0,55.0,54.0,54.0,54.0,54.0,54.0,65.0,60.0,52.0,65.0,58.0,63.0,67.0,70.0,64.0,63.0,58.0,38.0,41.0,64.0,73.0,63.0,79.0,37.0,55.0,59.0,67.0,50.0,64.0,67.0,62.0,66.0,21.0,62.0,53.0,9.0,8.0,6.0,11.0,8.0,Medium, Low
14891,232541,R. Izumi,24,https://cdn.sofifa.org/players/4/19/232541.png,Japan,https://cdn.sofifa.org/flags/163.png,64,https://cdn.sofifa.org/teams/2/light/112092.png,270000.0,1579,Right,1.0,3.0,2.0,No,29.0,"Jan 1, 2016",5.8,72.27,57.0,57.0,57.0,60.0,59.0,59.0,59.0,60.0,61.0,61.0,61.0,62.0,60.0,60.0,60.0,62.0,58.0,57.0,57.0,57.0,58.0,57.0,53.0,53.0,53.0,57.0,41.0,48.0,41.0,66.0,39.0,60.0,44.0,37.0,62.0,57.0,75.0,79.0,73.0,56.0,72.0,49.0,57.0,78.0,68.0,43.0,41.0,43.0,59.0,55.0,46.0,57.0,50.0,51.0,46.0,6.0,12.0,9.0,5.0,11.0,Medium, Medium
10517,244112,D. Kyereh,22,https://cdn.sofifa.org/players/4/19/244112.png,Ghana,https://cdn.sofifa.org/flags/117.png,72,https://cdn.sofifa.org/teams/2/light/492.png,775000.0,1532,Right,1.0,3.0,4.0,No,17.0,"Jul 1, 2018",5.10,73.18,66.0,66.0,66.0,66.0,65.0,65.0,65.0,66.0,62.0,62.0,62.0,63.0,52.0,52.0,52.0,63.0,47.0,39.0,39.0,39.0,47.0,44.0,38.0,38.0,38.0,44.0,47.0,66.0,57.0,55.0,67.0,72.0,31.0,27.0,28.0,64.0,86.0,84.0,79.0,57.0,75.0,64.0,88.0,62.0,55.0,58.0,44.0,19.0,61.0,47.0,48.0,48.0,20.0,15.0,17.0,5.0,8.0,5.0,10.0,11.0,Medium, Medium
10496,238475,O. Verdon,22,https://cdn.sofifa.org/players/4/19/238475.png,Benin,https://cdn.sofifa.org/flags/99.png,72,https://cdn.sofifa.org/teams/2/light/226.png,650000.0,1387,Right,1.0,2.0,2.0,No,5.0,"Jul 1, 2018",6.3,85.0,43.0,43.0,43.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,42.0,45.0,45.0,45.0,42.0,56.0,58.0,58.0,58.0,56.0,59.0,66.0,66.0,66.0,59.0,30.0,21.0,62.0,52.0,34.0,33.0,34.0,28.0,38.0,41.0,52.0,51.0,44.0,53.0,46.0,41.0,72.0,69.0,80.0,27.0,58.0,62.0,31.0,28.0,44.0,53.0,67.0,68.0,67.0,11.0,6.0,15.0,11.0,11.0,Medium, Medium
6280,207531,S. Thesker,27,https://cdn.sofifa.org/players/4/19/207531.png,Germany,https://cdn.sofifa.org/flags/21.png,70,https://cdn.sofifa.org/teams/2/light/576.png,1000000.0,1554,Left,1.0,3.0,2.0,No,5.0,"Jul 1, 2018",6.3,84.09,53.0,53.0,53.0,50.0,51.0,51.0,51.0,50.0,52.0,52.0,52.0,53.0,58.0,58.0,58.0,53.0,62.0,66.0,66.0,66.0,62.0,63.0,69.0,69.0,69.0,63.0,42.0,29.0,72.0,60.0,40.0,52.0,33.0,31.0,61.0,64.0,44.0,45.0,50.0,62.0,45.0,58.0,59.0,71.0,78.0,39.0,72.0,70.0,41.0,37.0,45.0,70.0,69.0,66.0,63.0,13.0,7.0,10.0,14.0,12.0,Medium, Medium
13378,198491,J. Eiswohld,28,https://cdn.sofifa.org/players/4/19/198491.png,Sweden,https://cdn.sofifa.org/flags/46.png,63,https://cdn.sofifa.org/teams/2/light/113458.png,280000.0,1588,Right,1.0,3.0,2.0,No,6.0,"Jan 21, 2017",6.1,74.09,50.0,50.0,50.0,55.0,54.0,54.0,54.0,55.0,57.0,57.0,57.0,56.0,60.0,60.0,60.0,56.0,60.0,64.0,64.0,64.0,60.0,60.0,63.0,63.0,63.0,60.0,45.0,39.0,42.0,62.0,40.0,56.0,43.0,48.0,59.0,61.0,59.0,53.0,64.0,67.0,58.0,38.0,56.0,59.0,71.0,46.0,77.0,68.0,34.0,58.0,58.0,65.0,62.0,60.0,54.0,13.0,15.0,6.0,8.0,9.0,High, Medium
10620,243627,Y. Adli,17,https://cdn.sofifa.org/players/4/19/243627.png,France,https://cdn.sofifa.org/flags/18.png,84,https://cdn.sofifa.org/teams/2/light/73.png,1100000.0,1721,Right,1.0,3.0,3.0,No,29.0,"Jul 1, 2018",6.1,78.18,62.0,62.0,62.0,65.0,64.0,64.0,64.0,65.0,66.0,66.0,66.0,66.0,65.0,65.0,65.0,66.0,62.0,62.0,62.0,62.0,62.0,61.0,60.0,60.0,60.0,61.0,62.0,46.0,60.0,67.0,50.0,74.0,60.0,50.0,65.0,72.0,62.0,61.0,65.0,56.0,57.0,67.0,59.0,59.0,63.0,53.0,53.0,51.0,59.0,65.0,55.0,65.0,59.0,57.0,55.0,14.0,12.0,9.0,10.0,14.0,High, Medium
505,188942,V. Wanyama,27,https://cdn.sofifa.org/players/4/19/188942.png,Kenya,https://cdn.sofifa.org/flags/120.png,82,https://cdn.sofifa.org/teams/2/light/18.png,14500000.0,2043,Right,2.0,3.0,2.0,Yes,12.0,"Jul 1, 2016",6.0,87.27,71.0,71.0,71.0,69.0,70.0,70.0,70.0,69.0,70.0,70.0,70.0,70.0,74.0,74.0,74.0,70.0,76.0,81.0,81.0,81.0,76.0,77.0,82.0,82.0,82.0,77.0,62.0,61.0,71.0,77.0,60.0,68.0,62.0,57.0,70.0,75.0,54.0,61.0,68.0,81.0,65.0,79.0,79.0,78.0,92.0,60.0,89.0,83.0,63.0,64.0,65.0,76.0,78.0,85.0,77.0,6.0,14.0,10.0,13.0,16.0,Medium, High
9412,184461,L. Guldan,35,https://cdn.sofifa.org/players/4/19/184461.png,Slovakia,https://cdn.sofifa.org/flags/43.png,66,https://cdn.sofifa.org/teams/2/light/110749.png,150000.0,1527,Right,1.0,3.0,2.0,No,33.0,"Jul 1, 2013",6.0,82.27,48.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,58.0,58.0,58.0,52.0,60.0,64.0,64.0,64.0,60.0,61.0,66.0,66.0,66.0,61.0,56.0,20.0,69.0,62.0,17.0,45.0,34.0,40.0,59.0,59.0,38.0,33.0,56.0,52.0,61.0,39.0,74.0,71.0,72.0,42.0,68.0,66.0,58.0,47.0,31.0,59.0,60.0,66.0,66.0,15.0,6.0,13.0,16.0,16.0,Low, High
14562,244190,F. Sgarbi,20,https://cdn.sofifa.org/players/4/19/244190.png,Italy,https://cdn.sofifa.org/flags/27.png,70,https://cdn.sofifa.org/teams/2/light/199.png,350000.0,1305,Right,1.0,2.0,2.0,No,13.0,"Jul 2, 2018",6.3,84.09,42.0,42.0,42.0,36.0,37.0,37.0,37.0,36.0,35.0,35.0,35.0,37.0,38.0,38.0,38.0,37.0,51.0,51.0,51.0,51.0,51.0,55.0,62.0,62.0,62.0,55.0,25.0,22.0,69.0,40.0,29.0,22.0,22.0,31.0,24.0,40.0,63.0,61.0,50.0,51.0,50.0,45.0,73.0,57.0,77.0,25.0,50.0,56.0,21.0,26.0,42.0,49.0,62.0,62.0,62.0,12.0,12.0,12.0,7.0,5.0,Medium, Medium
5914,208462,R. Pröpper,24,https://cdn.sofifa.org/players/4/19/208462.png,Netherlands,https://cdn.sofifa.org/flags/34.png,73,https://cdn.sofifa.org/teams/2/light/100634.png,1200000.0,1727,Right,1.0,3.0,2.0,No,4.0,"Jul 1, 2016",6.4,84.09,58.0,58.0,58.0,54.0,56.0,56.0,56.0,54.0,58.0,58.0,58.0,56.0,62.0,62.0,62.0,56.0,62.0,68.0,68.0,68.0,62.0,63.0,69.0,69.0,69.0,63.0,40.0,44.0,70.0,65.0,34.0,51.0,64.0,67.0,68.0,62.0,50.0,50.0,60.0,60.0,55.0,76.0,72.0,69.0,79.0,63.0,66.0,66.0,36.0,59.0,44.0,63.0,72.0,67.0,65.0,11.0,8.0,6.0,14.0,14.0,Medium, Medium
3842,200918,C. Knasmüllner,26,https://cdn.sofifa.org/players/4/19/200918.png,Austria,https://cdn.sofifa.org/flags/4.png,75,https://cdn.sofifa.org/teams/2/light/254.png,3900000.0,1876,Right,1.0,3.0,3.0,No,28.0,"Jun 15, 2018",5.11,70.0,68.0,68.0,68.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0,73.0,70.0,70.0,70.0,73.0,62.0,60.0,60.0,60.0,62.0,59.0,52.0,52.0,52.0,59.0,64.0,66.0,45.0,73.0,60.0,72.0,73.0,69.0,68.0,75.0,78.0,75.0,83.0,69.0,84.0,68.0,74.0,79.0,65.0,62.0,55.0,47.0,65.0,72.0,74.0,64.0,30.0,42.0,43.0,6.0,14.0,8.0,9.0,9.0,Medium, Low
17196,237228,A. Rodriguez,19,https://cdn.sofifa.org/players/4/19/237228.png,Chile,https://cdn.sofifa.org/flags/55.png,71,https://cdn.sofifa.org/teams/2/light/15029.png,170000.0,1210,Right,1.0,2.0,2.0,No,31.0,"Jan 13, 2017",5.8,75.0,37.0,37.0,37.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,35.0,35.0,35.0,35.0,35.0,48.0,47.0,47.0,47.0,48.0,51.0,56.0,56.0,56.0,51.0,21.0,23.0,54.0,30.0,26.0,24.0,21.0,27.0,29.0,29.0,55.0,63.0,43.0,44.0,72.0,35.0,71.0,58.0,57.0,18.0,46.0,51.0,25.0,29.0,32.0,44.0,60.0,62.0,61.0,8.0,8.0,8.0,14.0,6.0,Low, Medium
10367,199787,T. Öztürk,28,https://cdn.sofifa.org/players/4/19/199787.png,Germany,https://cdn.sofifa.org/flags/21.png,65,https://cdn.sofifa.org/teams/2/light/167.png,450000.0,1561,Right,1.0,4.0,2.0,No,26.0,"Jul 1, 2016",6.3,87.27,55.0,55.0,55.0,53.0,54.0,54.0,54.0,53.0,56.0,56.0,56.0,55.0,61.0,61.0,61.0,55.0,61.0,65.0,65.0,65.0,61.0,62.0,67.0,67.0,67.0,62.0,46.0,32.0,72.0,66.0,37.0,49.0,40.0,38.0,64.0,60.0,54.0,48.0,53.0,64.0,46.0,60.0,35.0,64.0,84.0,55.0,65.0,61.0,44.0,53.0,34.0,56.0,63.0,66.0,60.0,12.0,9.0,8.0,13.0,6.0,Medium, Medium
16927,243646,B. Nygren,16,https://cdn.sofifa.org/players/4/19/243646.png,Sweden,https://cdn.sofifa.org/flags/46.png,73,https://cdn.sofifa.org/teams/2/light/319.png,180000.0,1329,Left,1.0,3.0,2.0,No,14.0,"May 23, 2018",6.0,73.18,56.0,56.0,56.0,54.0,55.0,55.0,55.0,54.0,53.0,53.0,53.0,53.0,47.0,47.0,47.0,53.0,40.0,37.0,37.0,37.0,40.0,38.0,34.0,34.0,34.0,38.0,38.0,60.0,52.0,48.0,35.0,47.0,37.0,30.0,36.0,55.0,66.0,63.0,60.0,48.0,61.0,52.0,68.0,61.0,61.0,48.0,32.0,14.0,57.0,48.0,58.0,43.0,18.0,16.0,18.0,6.0,10.0,6.0,12.0,8.0,Medium, Medium
2729,230198,Juli Piresinho,30,https://cdn.sofifa.org/players/4/19/230198.png,Brazil,https://cdn.sofifa.org/flags/54.png,73,https://cdn.sofifa.org/teams/2/light/1598.png,2900000.0,1871,Right,1.0,2.0,3.0,No,2.0,"Jan 1, 2018",5.11,82.27,59.0,59.0,59.0,60.0,59.0,59.0,59.0,60.0,58.0,58.0,58.0,62.0,61.0,61.0,61.0,62.0,73.0,70.0,70.0,70.0,73.0,73.0,76.0,76.0,76.0,73.0,75.0,20.0,71.0,70.0,56.0,65.0,64.0,70.0,46.0,68.0,64.0,75.0,62.0,65.0,61.0,87.0,70.0,68.0,80.0,68.0,84.0,73.0,36.0,42.0,65.0,67.0,74.0,76.0,75.0,10.0,7.0,9.0,7.0,8.0,Low, Medium
12412,242265,M. Obafemi,17,https://cdn.sofifa.org/players/4/19/242265.png,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,78,https://cdn.sofifa.org/teams/2/light/17.png,750000.0,1531,Right,1.0,3.0,2.0,No,61.0,"Jul 4, 2017",5.7,71.36,63.0,63.0,63.0,62.0,63.0,63.0,63.0,62.0,61.0,61.0,61.0,60.0,53.0,53.0,53.0,60.0,43.0,40.0,40.0,40.0,43.0,42.0,37.0,37.0,37.0,42.0,39.0,62.0,64.0,55.0,44.0,55.0,50.0,41.0,42.0,58.0,82.0,78.0,80.0,60.0,89.0,60.0,63.0,55.0,52.0,56.0,38.0,13.0,65.0,56.0,62.0,55.0,18.0,23.0,15.0,11.0,11.0,13.0,12.0,9.0,Medium, Low
16807,243051,R. Deprem,20,https://cdn.sofifa.org/players/4/19/243051.png,Sweden,https://cdn.sofifa.org/flags/46.png,65,https://cdn.sofifa.org/teams/2/light/705.png,140000.0,1430,Right,1.0,3.0,2.0,No,45.0,"Mar 15, 2018",5.10,70.0,56.0,56.0,56.0,57.0,56.0,56.0,56.0,57.0,55.0,55.0,55.0,55.0,48.0,48.0,48.0,55.0,44.0,39.0,39.0,39.0,44.0,42.0,36.0,36.0,36.0,42.0,44.0,58.0,44.0,48.0,50.0,58.0,53.0,49.0,36.0,57.0,74.0,68.0,77.0,45.0,75.0,51.0,66.0,54.0,48.0,48.0,34.0,23.0,57.0,42.0,52.0,47.0,20.0,27.0,27.0,13.0,7.0,5.0,11.0,9.0,Medium, Medium
